Year,Month,City,Manufacturer,Vehicle Model,Units Sold
2010,Jan,Mumbai,Hero,Splendor Plus,1148
2010,Jan,Mumbai,Hero,Activa 6G,1212
2010,Jan,Mumbai,Hero,Pulsar 150,1706
2010,Jan,Mumbai,Hero,Apache RTR 160,851
2010,Jan,Mumbai,Hero,Classic 350,1928
2010,Jan,Mumbai,Hero,Gixxer SF,514
2010,Jan,Mumbai,Hero,FZ-S,1924
2010,Jan,Mumbai,Honda,Splendor Plus,677
2010,Jan,Mumbai,Honda,Activa 6G,1810
2010,Jan,Mumbai,Honda,Pulsar 150,781
2010,Jan,Mumbai,Honda,Apache RTR 160,1712
2010,Jan,Mumbai,Honda,Classic 350,910
2010,Jan,Mumbai,Honda,Gixxer SF,1779
2010,Jan,Mumbai,Honda,FZ-S,712
2010,Jan,Mumbai,Bajaj,Splendor Plus,1218
2010,Jan,Mumbai,Bajaj,Activa 6G,1962
2010,Jan,Mumbai,Bajaj,Pulsar 150,1213
2010,Jan,Mumbai,Bajaj,Apache RTR 160,505
2010,Jan,Mumbai,Bajaj,Classic 350,1144
2010,Jan,Mumbai,Bajaj,Gixxer SF,956
2010,Jan,Mumbai,Bajaj,FZ-S,1074
2010,Jan,Mumbai,TVS,Splendor Plus,997
2010,Jan,Mumbai,TVS,Activa 6G,1761
2010,Jan,Mumbai,TVS,Pulsar 150,1097
2010,Jan,Mumbai,TVS,Apache RTR 160,1331
2010,Jan,Mumbai,TVS,Classic 350,612
2010,Jan,Mumbai,TVS,Gixxer SF,1358
2010,Jan,Mumbai,TVS,FZ-S,1404
2010,Jan,Mumbai,Royal Enfield,Splendor Plus,1131
2010,Jan,Mumbai,Royal Enfield,Activa 6G,1851
2010,Jan,Mumbai,Royal Enfield,Pulsar 150,1093
2010,Jan,Mumbai,Royal Enfield,Apache RTR 160,995
2010,Jan,Mumbai,Royal Enfield,Classic 350,1114
2010,Jan,Mumbai,Royal Enfield,Gixxer SF,660
2010,Jan,Mumbai,Royal Enfield,FZ-S,828
2010,Jan,Mumbai,Suzuki,Splendor Plus,950
2010,Jan,Mumbai,Suzuki,Activa 6G,1714
2010,Jan,Mumbai,Suzuki,Pulsar 150,545
2010,Jan,Mumbai,Suzuki,Apache RTR 160,852
2010,Jan,Mumbai,Suzuki,Classic 350,771
2010,Jan,Mumbai,Suzuki,Gixxer SF,576
2010,Jan,Mumbai,Suzuki,FZ-S,1937
