Year,Month,City,Manufacturer,Vehicle Model,Units Sold,Speed (km/h),Range (km/charge),Price (INR)
2018,Jan,Mumbai,Ather,450X,1033,53,127,75580
2018,Jan,Mumbai,Ather,S1 Pro,4248,53,73,56363
2018,Jan,Mumbai,Ather,Photon HX,3511,58,101,96830
2018,Jan,Mumbai,Ather,Chetak,2830,88,83,146045
2018,Jan,Mumbai,Ather,iQube,226,90,71,88949
2018,Jan,Mumbai,Ola Electric,450X,4983,87,73,114372
2018,Jan,Mumbai,Ola Electric,S1 Pro,3541,53,63,120678
2018,Jan,Mumbai,Ola Electric,Photon HX,2722,54,85,75362
2018,Jan,Mumbai,Ola Electric,Chetak,947,84,84,91679
2018,Jan,Mumbai,Ola Electric,iQube,1747,42,63,111671
2018,Jan,Mumbai,Hero Electric,450X,183,61,67,131299
2018,Jan,Mumbai,Hero Electric,S1 Pro,1720,56,86,93871
2018,Jan,Mumbai,Hero Electric,Photon HX,504,45,127,89538
2018,Jan,Mumbai,Hero Electric,Chetak,2057,74,66,89505
2018,Jan,Mumbai,Hero Electric,iQube,2169,45,124,148482
2018,Jan,Mumbai,Bajaj,450X,4026,48,116,99684
2018,Jan,Mumbai,Bajaj,S1 Pro,2615,40,73,82881
2018,Jan,Mumbai,Bajaj,Photon HX,507,49,126,46684
2018,Jan,Mumbai,Bajaj,Chetak,812,40,89,85837
2018,Jan,Mumbai,Bajaj,iQube,3851,86,60,84119
2018,Jan,Mumbai,TVS,450X,2959,46,103,75142
2018,Jan,Mumbai,TVS,S1 Pro,4832,97,67,79542
2018,Jan,Mumbai,TVS,Photon HX,3340,53,119,65490
2018,Jan,Mumbai,TVS,Chetak,204,49,112,103436
2018,Jan,Mumbai,TVS,iQube,3046,61,112,118288
2018,Jan,Delhi,Ather,450X,1823,78,86,49235
2018,Jan,Delhi,Ather,S1 Pro,2763,54,59,51095
2018,Jan,Delhi,Ather,Photon HX,1602,63,90,66189
2018,Jan,Delhi,Ather,Chetak,2844,73,64,78008
2018,Jan,Delhi,Ather,iQube,3315,43,71,140877
2018,Jan,Delhi,Ola Electric,450X,4451,82,91,49569
2018,Jan,Delhi,Ola Electric,S1 Pro,3015,83,71,90553
2018,Jan,Delhi,Ola Electric,Photon HX,3752,78,104,74044
2018,Jan,Delhi,Ola Electric,Chetak,4461,65,117,114564
2018,Jan,Delhi,Ola Electric,iQube,3529,58,127,106819
2018,Jan,Delhi,Hero Electric,450X,3919,67,56,107527
2018,Jan,Delhi,Hero Electric,S1 Pro,281,96,114,148720
2018,Jan,Delhi,Hero Electric,Photon HX,1150,100,124,74424
2018,Jan,Delhi,Hero Electric,Chetak,3377,63,82,136195
2018,Jan,Delhi,Hero Electric,iQube,2240,85,120,92670
2018,Jan,Delhi,Bajaj,450X,333,48,85,112112
2018,Jan,Delhi,Bajaj,S1 Pro,171,50,58,92776
2018,Jan,Delhi,Bajaj,Photon HX,531,40,92,139988
2018,Jan,Delhi,Bajaj,Chetak,734,40,108,100107
2018,Jan,Delhi,Bajaj,iQube,3670,77,68,47517
2018,Jan,Delhi,TVS,450X,4577,68,57,135573
2018,Jan,Delhi,TVS,S1 Pro,362,88,83,144986
2018,Jan,Delhi,TVS,Photon HX,1285,80,56,100317
2018,Jan,Delhi,TVS,Chetak,3633,92,116,97236
2018,Jan,Delhi,TVS,iQube,887,48,64,145053
2018,Jan,Bangalore,Ather,450X,4403,73,102,50141
2018,Jan,Bangalore,Ather,S1 Pro,3684,76,83,98401
2018,Jan,Bangalore,Ather,Photon HX,2717,85,85,135648
2018,Jan,Bangalore,Ather,Chetak,1616,65,90,106091
2018,Jan,Bangalore,Ather,iQube,2144,67,69,145433
2018,Jan,Bangalore,Ola Electric,450X,1993,78,91,76391
2018,Jan,Bangalore,Ola Electric,S1 Pro,4920,75,79,64358
2018,Jan,Bangalore,Ola Electric,Photon HX,3790,63,95,110476
2018,Jan,Bangalore,Ola Electric,Chetak,4838,59,85,136347
2018,Jan,Bangalore,Ola Electric,iQube,1867,63,92,102439
2018,Jan,Bangalore,Hero Electric,450X,3150,62,87,69356
2018,Jan,Bangalore,Hero Electric,S1 Pro,4333,59,82,123936
2018,Jan,Bangalore,Hero Electric,Photon HX,1576,61,55,131007
2018,Jan,Bangalore,Hero Electric,Chetak,2769,69,70,49518
2018,Jan,Bangalore,Hero Electric,iQube,814,41,122,135457
2018,Jan,Bangalore,Bajaj,450X,1555,97,55,135058
2018,Jan,Bangalore,Bajaj,S1 Pro,4309,89,67,95654
2018,Jan,Bangalore,Bajaj,Photon HX,2423,68,113,122420
2018,Jan,Bangalore,Bajaj,Chetak,4399,79,65,58156
2018,Jan,Bangalore,Bajaj,iQube,4061,65,88,139532
2018,Jan,Bangalore,TVS,450X,219,77,73,97287
2018,Jan,Bangalore,TVS,S1 Pro,154,71,90,89483
2018,Jan,Bangalore,TVS,Photon HX,3010,61,125,88796
2018,Jan,Bangalore,TVS,Chetak,4215,91,111,126007
2018,Jan,Bangalore,TVS,iQube,2619,62,127,52017
2018,Jan,Chennai,Ather,450X,4617,43,78,84871
2018,Jan,Chennai,Ather,S1 Pro,1496,43,121,114534
2018,Jan,Chennai,Ather,Photon HX,4430,63,73,94584
2018,Jan,Chennai,Ather,Chetak,3425,72,68,81739
